hinet,strata,hatota
51258.5,2,38813.56
42627.494,2,49200.29
28600.434,3,14810.49
37667.409,3,894.2713
50319.139,2,4008.912
34892.844,2,36043.77
18531.666,2,2801.779
42220.131,1,18013.18
30538.955,2,7665.182
48327.704,3,15268.55
19395.847,2,5466.699
54138.539,2,78173.79
35626.293,2,37264.66
51258.5,2,38813.56
17506.191,2,16400.1
15971.051,1,7653.378
31209.6,1,8245.017
48327.704,3,15268.55
21501.22,2,83039.48
44837.899,2,375.38
55592.907,3,22444.77
58885.456,3,80542.7
23065.99,3,65556.47
53721.188,3,12775.3
22397.976,3,20409.01
37636.398,2,85644.95
38039.298,3,49622.78
34287.134,2,4008.912
29390.085,2,9198.219
33340.082,2,34659.61
27253.862,1,1913.344
38042.632,2,45991.09
46477.948,1,10603.5
39176.3,2,25550.61
33100.533,3,20765.23
41160.982,2,0
51258.5,2,38813.56
32028.727,2,27483.39
9829.5097,3,24200.65
33100.533,3,20765.23
58737.308,3,30431.29
38039.298,3,49622.78
33942.792,2,13818.04
24008.386,2,66431.58
17816.106,2,9924.557
25332.049,2,18230.65
26214.502,2,30660.73
12305.275,2,1277.53
42514.51,2,7328.903
34283.065,3,33599.05
40656.749,3,39724.68
20746.121,1,546.6699
45451.72,2,68326.76
20647.49,3,6870.847
28600.434,3,14810.49
41305.777,2,136951.3
23065.99,3,65556.47
16552.481,1,3960.661
55592.907,3,22444.77
59557.569,3,49622.78
28366.699,2,1093.34
21676.957,3,10382.61
37636.398,2,85644.95
54987.7,2,64689.27
35646.884,2,8382.271
35393.958,2,1093.34
52696.86,2,10535.3
28600.434,3,14810.49
31209.6,1,8245.017
15789.847,2,4687.444
20864.371,2,70264.17
27169.492,3,0
81018.43,3,33909.92
31513.677,3,13120.08
49846.732,2,3832.591
90770.783,3,91982.19
47805.174,2,25550.61
24358.151,1,8336.716
43450.597,3,39724.68
54987.7,2,64689.27
46667.384,2,30977.96
57774.813,3,50844.27
45766.466,3,155739.2
19498.074,1,6924.485
45451.72,2,68326.76
39320.024,3,48859.36
29094.499,2,11662.29
45984.776,2,60680.36
15650.201,2,1526.855
26710.644,3,3832.591
27253.862,1,1913.344
21454.97,2,4373.359
9504.3659,3,6742.262
37164.487,3,43515.36
33942.792,2,13818.04
13016.009,1,2733.349
19395.847,2,5466.699
27991.524,2,1984.911
45766.466,3,155739.2
23398.071,3,1916.296
36724.416,3,27483.39
31783.386,3,13120.08
22284.904,2,21375.97
9914.3683,1,6377.815
45451.72,2,68326.76
22837.849,2,23634.31
29270.723,2,36644.52
20960.252,3,23233.47
26466.196,3,3206.395
47033.507,3,57855.89
15650.201,2,1526.855
32882.376,3,28246.81
34283.065,3,33599.05
49846.732,2,3832.591
37976.967,3,24273.08
43527.377,2,19801.72
31715.326,3,18222.33
40389.61,1,14031.19
24150.052,1,19716.56
46667.384,2,30977.96
30943.337,1,4555.582
35110.71,3,31216.67
34205.854,1,18322.26
55304.041,3,96191.85
35626.293,2,37264.66
31715.326,3,18222.33
28366.699,2,1093.34
29326.347,1,19085.69
14989.688,3,33711.31
42572.827,3,15488.98
28411.211,3,28246.81
8313.646,3,3680.91
47856.391,1,7653.378
38042.632,2,45991.09
81018.43,3,33909.92
17186.45,1,8303.947
28028.493,3,1275.563
45119.553,3,14505.12
22859.873,2,25550.61
36390.44,2,22101.28
21406.81,3,13741.69
47033.507,3,57855.89
58154.542,3,35117.66
74098.462,3,14883.23
11460.725,2,4580.564
27960.341,2,20682.34
47995.974,3,68333.73
15789.847,2,4687.444
30943.337,1,4555.582
27270.864,2,2290.282
53294.408,2,7288.932
28411.211,3,28246.81
25332.049,2,18230.65
44837.899,2,375.38
35924.726,2,51149.64
25332.049,2,18230.65
35546.297,2,17311.21
34287.134,2,4008.912
33082.364,2,2042.932
55304.041,3,96191.85
22352.329,3,2551.126
41486.776,3,38449.11
26250.406,2,1221.484
54987.7,2,64689.27
30639.024,2,10568.95
16552.481,1,3960.661
57939.717,3,11480.07
36724.416,3,27483.39
35646.884,2,8382.271
44063.414,2,27515.72
25162.303,2,11434.51
11179.097,2,12825.58
44837.899,2,375.38
59557.569,3,49622.78
20108.073,2,231233
17686.964,2,9161.129
28411.211,3,28246.81
42514.51,2,7328.903
41160.982,2,0
28411.211,3,28246.81
38042.632,2,45991.09
51258.5,2,38813.56
80397.097,3,100222.8
28387.185,3,14819.35
39198.052,3,114071.8
53760.79,3,20044.56
38351.234,2,2748.339
52703.166,3,59404.79
35802.457,2,84317.01
32028.727,2,27483.39
53760.79,3,20044.56
64480.05,3,141167.1
74098.462,3,14883.23
22284.904,2,21375.97
28600.434,3,14810.49
48903.446,2,54120.32
43527.377,2,19801.72
26767.143,2,6742.262
26784.09,1,21320.13
16075.01,2,1548.898
90770.783,3,91982.19
40656.749,3,39724.68
22397.976,3,20409.01
42572.827,3,15488.98
37367.254,1,0
41032.697,3,59547.34
35802.457,2,84317.01
58737.308,3,30431.29
14479.172,2,7026.417
29672.815,2,25550.61
36724.416,3,27483.39
16552.481,1,3960.661
45345.852,3,28105.67
17043.891,2,16308.98
33340.082,2,34659.61
26380.632,1,22995.55
29029.992,3,49200.29
15216.33,2,2290.282
28366.699,2,1093.34
22271.85,2,52065.75
90449.812,3,111460.4
32843.926,3,19315.67
8313.646,3,3680.91
9504.3659,3,6742.262
15810.49,1,0
15971.051,1,7653.378
35110.71,3,31216.67
23768.442,3,1984.911
31773.637,3,31561.07
26138.273,3,17128.99
29397.3,3,50386.21
