hinet,strata,hatota
58737.308,3,30431.29
24396.615,3,9070.466
52696.86,2,10535.3
30241.803,3,8703.072
44837.899,2,375.38
22397.976,3,20409.01
61589.812,2,16948.09
33340.082,2,34659.61
36018.506,1,5198.941
52703.166,3,59404.79
26680.078,3,14657.81
15810.49,1,0
28287.432,2,21866.79
47609.479,3,54120.32
41520.68,2,22139.39
50319.139,2,4008.912
42572.827,3,15488.98
28247.015,2,1277.53
90770.783,3,91982.19
47995.974,3,68333.73
17985.456,1,27466.9
45177.039,3,20917.91
28255.543,3,66784.84
27991.524,2,1984.911
45345.852,3,28105.67
34287.134,2,4008.912
53562.266,2,38171.37
28163.429,3,21502.35
33287.566,1,69335.96
29067.311,2,3188.907
22271.85,2,52065.75
9914.3683,1,6377.815
36724.416,3,27483.39
51258.5,2,38813.56
26138.273,3,17128.99
49071.847,3,41225.08
37625.866,2,9111.164
13016.009,1,2733.349
37636.398,2,85644.95
27960.341,2,20682.34
15971.051,1,7653.378
35812.831,1,1405.283
19183.404,2,27330.7
53721.188,3,12775.3
15680.341,2,1795.581
41032.697,3,59547.34
30539.845,2,67945.04
43617.326,2,34354.23
61589.812,2,16948.09
23001.135,1,13666.75
41032.697,3,59547.34
27991.524,2,1984.911
40656.749,3,39724.68
47866.414,3,80907.14
51105.598,3,113189.2
23001.135,1,13666.75
28600.434,3,14810.49
29067.311,2,3188.907
33100.533,3,20765.23
9504.3659,3,6742.262
49344.905,3,18651.94
31773.637,3,31561.07
7295.3094,3,11844.51
29934.184,1,21957.91
52703.166,3,59404.79
36901.791,2,26185.56
72820.071,3,78356.02
20864.371,2,70264.17
54138.539,2,78173.79
12305.275,2,1277.53
17506.191,2,16400.1
64480.05,3,141167.1
54987.7,2,64689.27
26258.376,3,55304.77
22397.976,3,20409.01
35924.726,2,51149.64
24418.832,3,0
42993.728,1,59547.34
25706.33,1,4920.029
41211.797,2,35423.03
26138.273,3,17128.99
25123.125,3,0
21501.22,2,83039.48
35626.293,2,37264.66
15283.262,1,6451.528
33082.364,2,2042.932
83402.155,3,88557.58
43209.106,2,15458.12
55592.907,3,22444.77
31874.498,3,4008.912
47866.414,3,80907.14
43450.597,3,39724.68
17506.191,2,16400.1
31783.386,3,13120.08
41305.777,2,136951.3
15680.341,2,1795.581
47866.414,3,80907.14
26710.644,3,3832.591
24635.65,1,8397.701
42220.131,1,18013.18
34205.854,1,18322.26
28136.369,1,364.4466
47866.414,3,80907.14
62865.744,3,45805.64
40389.61,1,14031.19
30241.803,3,8703.072
58737.308,3,30431.29
44063.414,2,27515.72
23398.071,3,1916.296
66399.898,3,69625.41
28387.185,3,14819.35
24008.386,2,66431.58
17043.891,2,16308.98
83402.155,3,88557.58
35626.293,2,37264.66
34287.134,2,4008.912
27991.524,2,1984.911
22397.976,3,20409.01
23001.135,1,13666.75
52744.819,2,26948.99
47033.507,3,57855.89
31513.677,3,13120.08
40389.61,1,14031.19
43450.597,3,39724.68
31783.386,3,13120.08
57939.717,3,11480.07
42220.131,1,18013.18
43209.106,2,15458.12
19498.074,1,6924.485
40681.167,2,10933.4
36390.44,2,22101.28
57939.717,3,11480.07
35626.293,2,37264.66
37636.398,2,85644.95
36485.374,2,5110.122
58154.542,3,35117.66
29094.499,2,11662.29
90770.783,3,91982.19
22352.329,3,2551.126
30538.955,2,7665.182
45345.852,3,28105.67
43478.993,2,69874.98
26710.644,3,3832.591
55304.041,3,96191.85
62865.744,3,45805.64
40116.626,2,15713.62
21454.97,2,4373.359
17186.45,1,8303.947
53760.79,3,20044.56
68890.774,3,62329.27
25332.049,2,18230.65
28387.185,3,14819.35
27169.492,3,0
41203.781,3,108712.1
15283.262,1,6451.528
48484.105,2,31938.26
28411.211,3,28246.81
45451.72,2,68326.76
29519.262,1,7926.713
47856.391,1,7653.378
35393.958,2,1093.34
32028.727,2,27483.39
22284.904,2,21375.97
38042.632,2,45991.09
28366.699,2,1093.34
36894.235,2,111145.1
31209.6,1,8245.017
57588.299,2,83822.71
29390.085,2,9198.219
31513.677,3,13120.08
37367.254,1,0
33082.364,2,2042.932
28366.699,2,1093.34
25706.33,1,4920.029
35924.726,2,51149.64
33100.533,3,20765.23
43478.993,2,69874.98
29326.347,1,19085.69
26466.196,3,3206.395
42220.131,1,18013.18
26214.502,2,30660.73
20647.49,3,6870.847
57774.813,3,50844.27
42328.111,2,26490.93
22284.904,2,21375.97
15971.051,1,7653.378
41305.777,2,136951.3
11460.725,2,4580.564
29359.281,2,25193.11
31715.326,3,18222.33
43209.106,2,15458.12
26680.078,3,14657.81
37976.967,3,24273.08
28136.369,1,364.4466
34243.4,3,13028.96
21454.97,2,4373.359
36390.44,2,22101.28
50319.139,2,4008.912
43678.922,2,60498.13
36894.235,2,111145.1
34287.134,2,4008.912
47033.507,3,57855.89
57588.299,2,83822.71
27872.583,2,10220.24
34283.065,3,33599.05
34283.065,3,33599.05
33340.082,2,34659.61
90449.812,3,111460.4
37264.419,3,32369.32
40116.626,2,15713.62
43678.922,2,60498.13
8313.646,3,3680.91
58737.308,3,30431.29
37636.398,2,85644.95
15650.201,2,1526.855
27960.341,2,20682.34
42572.827,3,15488.98
33942.792,2,13818.04
63609.658,3,87794.16
21982.762,2,34804.65
33082.364,2,2042.932
38039.298,3,49622.78
66399.898,3,69625.41
42328.111,2,26490.93
30943.337,1,4555.582
29359.281,2,25193.11
42627.494,2,49200.29
43678.922,2,60498.13
37625.866,2,9111.164
43617.326,2,34354.23
35812.831,1,1405.283
58154.542,3,35117.66
26138.273,3,17128.99
14989.688,3,33711.31
39198.052,3,114071.8
26784.09,1,21320.13
24635.65,1,8397.701
35546.297,2,17311.21
55304.041,3,96191.85
52744.819,2,26948.99
52696.86,2,10535.3
27270.864,2,2290.282
41203.781,3,108712.1
46630.681,2,26414.59
24134.746,3,3644.466
43450.597,3,39724.68
39176.3,2,25550.61
42993.728,1,59547.34
22352.329,3,2551.126
24418.832,3,0
41032.697,3,59547.34
34205.854,1,18322.26
21298.258,3,911.1165
49071.847,3,41225.08
55088.388,2,44713.56
36018.506,1,5198.941
57588.299,2,83822.71
57774.813,3,50844.27
45177.039,3,20917.91
37636.398,2,85644.95
27270.864,2,2290.282
34287.134,2,4008.912
27991.524,2,1984.911
26680.078,3,14657.81
14479.172,2,7026.417
26250.406,2,1221.484
15650.201,2,1526.855
35924.726,2,51149.64
21298.258,3,911.1165
39320.024,3,48859.36
36901.791,2,26185.56
47609.479,3,54120.32
55304.041,3,96191.85
68310.875,3,74815.89
31715.326,3,18222.33
36018.506,1,5198.941
44063.414,2,27515.72
35924.726,2,51149.64
26767.143,2,6742.262
90770.783,3,91982.19
45783.189,2,51995.49
31654.463,2,8291.159
54138.539,2,78173.79
28298.548,3,16582.32
38042.632,2,45991.09
37636.398,2,85644.95
31773.637,3,31561.07
52765.876,3,88149.59
35802.457,2,84317.01
40116.626,2,15713.62
29029.992,3,49200.29
15789.847,2,4687.444
48142.787,3,35770.85
48420.689,3,8303.947
29326.347,1,19085.69
32843.926,3,19315.67
40656.749,3,39724.68
31654.463,2,8291.159
49071.847,3,41225.08
52507.641,2,24600.14
74098.462,3,14883.23
28136.369,1,364.4466
90770.783,3,91982.19
35393.958,2,1093.34
34892.844,2,36043.77
12305.275,2,1277.53
27960.341,2,20682.34
35646.884,2,8382.271
22837.849,2,23634.31
40681.167,2,10933.4
19605.335,3,4580.564
26258.376,3,55304.77
45766.466,3,155739.2
52765.876,3,88149.59
55592.907,3,22444.77
38042.632,2,45991.09
12305.275,2,1277.53
24358.151,1,8336.716
21406.81,3,13741.69
35546.297,2,17311.21
25332.049,2,18230.65
52765.876,3,88149.59
29934.184,1,21957.91
44987.286,2,40234.9
22352.329,3,2551.126
47805.174,2,25550.61
74098.462,3,14883.23
80397.097,3,100222.8
21454.97,2,4373.359
43617.326,2,34354.23
43209.106,2,15458.12
63609.658,3,87794.16
22352.329,3,2551.126
81018.43,3,33909.92
45177.039,3,20917.91
53294.408,2,7288.932
41486.776,3,38449.11
52744.819,2,26948.99
29519.262,1,7926.713
37164.487,3,43515.36
26784.09,1,21320.13
62865.744,3,45805.64
42572.827,3,15488.98
21454.97,2,4373.359
58003.536,3,2442.968
43478.993,2,69874.98
9829.5097,3,24200.65
35626.293,2,37264.66
57588.299,2,83822.71
24396.615,3,9070.466
28247.015,2,1277.53
26466.196,3,3206.395
34243.4,3,13028.96
29519.262,1,7926.713
43678.922,2,60498.13
24150.052,1,19716.56
28600.434,3,14810.49
19498.074,1,6924.485
39198.052,3,114071.8
45345.852,3,28105.67
24396.615,3,9070.466
20864.371,2,70264.17
29390.085,2,9198.219
47856.391,1,7653.378
34283.065,3,33599.05
26138.273,3,17128.99
39198.052,3,114071.8
25162.303,2,11434.51
40653.579,3,15421.23
35626.293,2,37264.66
