mx1,mx2,mx3
.001779,.001779,.001779
.001904,.001904,.001904
.002018,.002018,.002018
.002003,.002003,.002003
.002123,.002123,.002123
.002056,.002056,.002056
.002142,.002142,.002142
.002276,.002276,.002276
.002363,.002363,.002363
.002348,.002348,.002348
.002405,.002405,.002405
.002411,.002411,.002411
.002589,.002589,.002589
.002791,.002791,.002791
.002786,.002786,.002786
.003059,.003059,.003059
.003376,.003376,.003376
.003385,.003385,.003385
.003634,.003634,.003634
.00388,.00388,.00388
.004289,.004289,.004289
.004717,.004717,.004717
.005104,.005104,.005104
.00571,.00571,.00571
.005597,.005597,.005597
.006171,.006171,.006171
.006666,.006666,.006666
.007304,.007304,.007304
.007959,.007959,.007959
.008518,.008518,.008518
.009086,.009086,.009086
.009736,.009736,.009736
.010299,.010299,.010299
.011182,.011182,.011182
.011997,.011997,.011997
.012665,.012665,.012665
.013588,.013588,.013588
.01507,.01507,.01507
.015856,.015856,.015856
.016642,.016642,.016642
.017747,.017747,.017747
.019021,.019021,.019021
.021082,.021082,.021082
.022493,.022493,.022493
.024583,.024583,.024583
.027274,.027274,.027274
.029458,.029458,.029458
.032685,.032685,.032685
.03625,.03625,.03625
.038649,.038649,.038649
.042201,.042201,.042201
.045702,.045702,.045702
.051756,.051756,.051756
.056501,.056501,.056501
.062234,.062234,.062234
.067736,.067736,.067736
.075057,.075057,.075057
.082835,.082835,.082835
.090457,.090457,.090457
.098327,.098327,.098327
.111705,.111705,.111705
.11762,.11762,.11762
.132225,.132225,.132225
.136221,.136221,.136221
.142544,.142544,.142544
.159996,.159996,.159996
.178231,.178231,.178231
.199707,.199707,.199707
.222967,.222967,.222967
.247509,.247509,.247509
.271845,.271845,.271845
.289243,.289243,.289243
.329803,.329803,.329803
.338401,.338401,.338401
.369691,.369691,.369691
.391607,.391607,.391607
